instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
2001WangValenzuelaNice2.50.csv        50    100.00    117.30    114.58    1.1730    1.1458       52
2001WangValenzuelaNice2.500.csv      500    100.00    116.11    113.64    1.1611    1.1364      583
2001WangValenzuelaNice2.5t.csv      5000    100.00    110.62    110.27    1.1062    1.1027     4876
2001WangValenzuelaNice20.100.csv     100    100.00    121.06    115.38    1.2106    1.1538      145
2001WangValenzuelaNice20.200.csv     200    100.00    119.62    113.83    1.1962    1.1383      390
2001WangValenzuelaNice20.25.csv       25    100.00    127.00    114.41    1.2700    1.1441       18
2001WangValenzuelaNice20.50.csv       50    100.00    119.81    114.54    1.1981    1.1454       51
2001WangValenzuelaNice21.100.csv     100    100.00    118.98    115.95    1.1898    1.1595      138
2001WangValenzuelaNice21.200.csv     200    100.00    115.11    114.58    1.1511    1.1458      396
2001WangValenzuelaNice21.25.csv       25    100.00    122.08    113.76    1.2208    1.1376       19
2001WangValenzuelaNice21.50.csv       50    100.00    118.15    111.49    1.1815    1.1149       54
2001WangValenzuelaNice22.100.csv     100    100.00    120.56    114.56    1.2056    1.1456      137
2001WangValenzuelaNice22.200.csv     200    100.00    115.99    114.18    1.1599    1.1418      441
2001WangValenzuelaNice22.25.csv       25    100.00    119.73    113.63    1.1973    1.1363       21
2001WangValenzuelaNice22.50.csv       50    100.00    120.10    112.84    1.2010    1.1284       54
2001WangValenzuelaNice23.100.csv     100    100.00    121.56    115.49    1.2156    1.1549      139
2001WangValenzuelaNice23.200.csv     200    100.00    119.03    113.82    1.1903    1.1382      412
2001WangValenzuelaNice23.25.csv       25    100.00    123.47    113.10    1.2347    1.1310       19
2001WangValenzuelaNice23.50.csv       50    100.00    122.38    114.54    1.2238    1.1454       49
2001WangValenzuelaNice24.100.csv     100    100.00    123.42    115.43    1.2342    1.1543      149
2001WangValenzuelaNice24.200.csv     200    100.00    118.99    115.12    1.1899    1.1512      429
2001WangValenzuelaNice24.25.csv       25    100.00    126.02    113.62    1.2602    1.1362       19
2001WangValenzuelaNice24.50.csv       50    100.00    128.91    114.35    1.2891    1.1435       54
2001WangValenzuelaNice25.100.csv     100    100.00    117.49    115.55    1.1749    1.1555      134
2001WangValenzuelaNice25.200.csv     200    100.00    121.49    114.42    1.2149    1.1442      389
2001WangValenzuelaNice25.25.csv       25    100.00    122.47    113.36    1.2247    1.1336       19
2001WangValenzuelaNice25.50.csv       50    100.00    124.41    114.40    1.2441    1.1440       50
2001WangValenzuelaNice26.100.csv     100    100.00    119.71    114.15    1.1971    1.1415      137
2001WangValenzuelaNice26.200.csv     200    100.00    119.75    114.65    1.1975    1.1465      409
2001WangValenzuelaNice26.25.csv       25    100.00    121.37    113.75    1.2137    1.1375       20
2001WangValenzuelaNice26.50.csv       50    100.00    118.93    114.83    1.1893    1.1483       50
2001WangValenzuelaNice27.100.csv     100    100.00    114.39    113.72    1.1439    1.1372      137
2001WangValenzuelaNice27.200.csv     200    100.00    116.11    114.39    1.1611    1.1439      402
2001WangValenzuelaNice27.25.csv       25    100.00    127.49    114.03    1.2749    1.1403       20
2001WangValenzuelaNice27.50.csv       50    100.00    120.93    115.78    1.2093    1.1578       51
2001WangValenzuelaNice28.100.csv     100    100.00    122.03    114.65    1.2203    1.1465      138
2001WangValenzuelaNice28.200.csv     200    100.00    115.21    114.34    1.1521    1.1434      406
2001WangValenzuelaNice28.25.csv       25    100.00    121.54    111.95    1.2154    1.1195       19
2001WangValenzuelaNice28.50.csv       50    100.00    118.57    115.42    1.1857    1.1542       52
2001WangValenzuelaNice29.100.csv     100    100.00    122.86    115.02    1.2286    1.1502      136
2001WangValenzuelaNice29.200.csv     200    100.00    118.14    114.68    1.1814    1.1468      387
