instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
2001WangValenzuelaNice2.50.csv,50,100.0000,true,100.0000,117.3044,114.5814,1.173044,1.145814,52
2001WangValenzuelaNice2.500.csv,500,100.0000,true,100.0000,116.1139,113.6434,1.161139,1.136434,583
2001WangValenzuelaNice2.5t.csv,5000,100.0000,true,100.0000,110.6246,110.2703,1.106246,1.102703,4876
2001WangValenzuelaNice20.100.csv,100,100.0000,true,100.0000,121.0574,115.3765,1.210574,1.153765,145
2001WangValenzuelaNice20.200.csv,200,100.0000,true,100.0000,119.6179,113.8338,1.196179,1.138338,390
2001WangValenzuelaNice20.25.csv,25,100.0000,true,100.0000,126.9992,114.4065,1.269992,1.144065,18
2001WangValenzuelaNice20.50.csv,50,100.0000,true,100.0000,119.8144,114.5390,1.198144,1.145390,51
2001WangValenzuelaNice21.100.csv,100,100.0000,true,100.0000,118.9825,115.9481,1.189825,1.159481,138
2001WangValenzuelaNice21.200.csv,200,100.0000,true,100.0000,115.1079,114.5775,1.151079,1.145775,396
2001WangValenzuelaNice21.25.csv,25,100.0000,true,100.0000,122.0769,113.7624,1.220769,1.137624,19
2001WangValenzuelaNice21.50.csv,50,100.0000,true,100.0000,118.1517,111.4931,1.181517,1.114931,54
2001WangValenzuelaNice22.100.csv,100,100.0000,true,100.0000,120.5639,114.5636,1.205639,1.145636,137
2001WangValenzuelaNice22.200.csv,200,100.0000,true,100.0000,115.9865,114.1787,1.159865,1.141787,441
2001WangValenzuelaNice22.25.csv,25,100.0000,true,100.0000,119.7297,113.6328,1.197297,1.136328,21
2001WangValenzuelaNice22.50.csv,50,100.0000,true,100.0000,120.0989,112.8425,1.200989,1.128425,54
2001WangValenzuelaNice23.100.csv,100,100.0000,true,100.0000,121.5628,115.4899,1.215628,1.154899,139
2001WangValenzuelaNice23.200.csv,200,100.0000,true,100.0000,119.0286,113.8160,1.190286,1.138160,412
2001WangValenzuelaNice23.25.csv,25,100.0000,true,100.0000,123.4659,113.0976,1.234659,1.130976,19
2001WangValenzuelaNice23.50.csv,50,100.0000,true,100.0000,122.3777,114.5361,1.223777,1.145361,49
